SELL_ID,model,feature,coefficient
1070,ols,IS_SCHOOLBREAK,0.02050635301395511
1070,ols,log_p,-0.12169956327956707
1070,ols,IS_MONTH_END,-0.00689717458493691
1070,ols,HOLIDAY_Labor Day,-0.35543581502255
1070,ols,HOLIDAY_Luner New Year,-0.356582220049552
1070,ols,HOLIDAY_Mid-Autumn Day,-0.3718633463180291
1070,ols,HOLIDAY_National Day,-0.36769050056194535
1070,ols,HOLIDAY_New Year,-0.37784777301576666
1070,ols,HOLIDAY_OtherHoliday,1.887379141862766e-15
1070,ols,HOLIDAY_Qing Ming Festival,-0.34920302574554024
1070,ols,MONTH_2,-0.0724154583945832
1070,ols,MONTH_3,-0.17437963641464044
1070,ols,MONTH_4,-0.1403832600767483
1070,ols,MONTH_5,-0.15045768251145566
1070,ols,MONTH_6,-0.17191508606110323
1070,ols,MONTH_7,-0.16141030097545714
1070,ols,MONTH_8,-0.13742819700564632
1070,ols,MONTH_9,-0.1208999025370801
1070,ols,MONTH_10,-0.11455706765885267
1070,ols,MONTH_11,-0.12226387313472825
1070,ols,MONTH_12,-0.03782347629765612
1070,ols,DAYOFWEEK_1,-0.011049336790814114
1070,ols,DAYOFWEEK_2,-0.004135659521810554
1070,ols,DAYOFWEEK_3,-0.00030973853775808393
1070,ols,DAYOFWEEK_4,-0.018017723435913256
1070,ols,DAYOFWEEK_5,-0.358666409618021
1070,ols,DAYOFWEEK_6,-0.368455178683428
1070,ridge,IS_SCHOOLBREAK,0.020716950593682792
1070,ridge,log_p,-0.11974023141556744
1070,ridge,IS_MONTH_END,-0.009457287048593853
1070,ridge,HOLIDAY_Labor Day,-0.31535882884219596
1070,ridge,HOLIDAY_Luner New Year,-0.33196040497986096
1070,ridge,HOLIDAY_Mid-Autumn Day,-0.3224208537087527
1070,ridge,HOLIDAY_National Day,-0.3478596032685504
1070,ridge,HOLIDAY_New Year,-0.3216438598796728
1070,ridge,HOLIDAY_OtherHoliday,0.0
1070,ridge,HOLIDAY_Qing Ming Festival,-0.310614149480236
1070,ridge,MONTH_2,-0.05587236724794901
1070,ridge,MONTH_3,-0.15278170981724515
1070,ridge,MONTH_4,-0.12484845541056319
1070,ridge,MONTH_5,-0.13052845097269344
1070,ridge,MONTH_6,-0.15007456038385036
1070,ridge,MONTH_7,-0.13966934762401745
1070,ridge,MONTH_8,-0.116057385567942
1070,ridge,MONTH_9,-0.1027781800443124
1070,ridge,MONTH_10,-0.09710276307344329
1070,ridge,MONTH_11,-0.10044937361132265
1070,ridge,MONTH_12,-0.016853653387442463
1070,ridge,DAYOFWEEK_1,-0.00693270134644087
1070,ridge,DAYOFWEEK_2,-0.00011693351825428102
1070,ridge,DAYOFWEEK_3,0.0044865249814871645
1070,ridge,DAYOFWEEK_4,-0.012699130030725656
1070,ridge,DAYOFWEEK_5,-0.35097403017601797
